sentence,date,speaker_party,speaker_name,speaker_role,speech_title,text,result,url, 
12,"7 May, 2025",none,Palki Sharma,journalist,What World Should Learn from India's Operation Sindoor | Vantage with Palki Sharma | N18G,It's a lesson for every country out there. You don't need to wipe out cities to send a message. Sometimes you need balance.,NEUTRAL,none,
13,"7 May, 2025",none,Palki Sharma,journalist,What World Should Learn from India's Operation Sindoor | Vantage with Palki Sharma | N18G,"In fact, Prime Minister Modi has championed it. He famously told Russia that this is not an era for war.",TRUE,https://www.thehindu.com/news/national/pm-modi-holds-talks-with-russian-president-vladimir-putin-on-sidelines-of-samarkand-sco-summit/article65899314.ece,
14,"7 May, 2025",none,Palki Sharma,journalist,What World Should Learn from India's Operation Sindoor | Vantage with Palki Sharma | N18G,You don't need a war to punish and deter your enemies.,NEUTRAL,none,
15,25-Apr-24,none,Palki Sharma,journalist,Palki Sharma at the Oxford Union,we are proud of what we share with the world Bollywood Masala chai yoga Cricket,TRUE,none,
16,25-Apr-24,none,Palki Sharma,journalist,Palki Sharma at the Oxford Union,India Today is a soft power giant at the same time India is not a timid democracy that tolerates terrorism or betrayals,TRUE,https://www.mea.gov.in/press-releases.htm?dtl/31091/Statement_by_Foreign_Secretary_on_26_February_2019_on_the_Strike_on_JeM_training_camp_at_Balakot,
17,25-Apr-24,none,Palki Sharma,journalist,Palki Sharma at the Oxford Union,when Pakistani terrorists attacked kashmir's pulama India carried out surgical strikes on balakot,TRUE,https://www.mea.gov.in/press-releases.htm?dtl/31091/Statement_by_Foreign_Secretary_on_26_February_2019_on_the_Strike_on_JeM_training_camp_at_Balakot,
18,25-Apr-24,none,Palki Sharma,journalist,Palki Sharma at the Oxford Union,"today's India is not a pushover country, it's a world power",TRUE,https://www.mea.gov.in/press-releases.htm?dtl/31091/Statement_by_Foreign_Secretary_on_26_February_2019_on_the_Strike_on_JeM_training_camp_at_Balakot,
19,none,none,none,none,facts about india,Hinduism is the oldest religion in the world,TRUE,https://www.westernunion.com/blog/en/ca/facts-about-india/?cust_src=organic_search,
20,none,none,none,none,facts about india,The Taj Mahal is not a palace,TRUE,https://www.westernunion.com/blog/en/ca/facts-about-india/?cust_src=organic_search,
21,none,none,none,none,facts about india,India was the first country to mine diamonds,TRUE,https://www.westernunion.com/blog/en/ca/facts-about-india/?cust_src=organic_search,
22,none,none,none,none,facts about india,India is the second largest English-speaking country in the world,TRUE,https://www.westernunion.com/blog/en/ca/facts-about-india/?cust_src=organic_search,
23,none,none,none,none,facts about india,India never invaded any country in her last 100000 years of history,TRUE,https://www.westernunion.com/blog/en/ca/facts-about-india/?cust_src=organic_search,
24,none,none,none,none,facts about india,"When many cultures were only nomadic forest dwellers over 5000 years ago, Indians established Harappan culture in Sindhu Valley (Indus Valley Civilization)",TRUE,https://education.vikaspedia.in/viewcontent/education/childrens-corner/interesting-facts-about-india?lgn=en,
25,none,none,none,none,facts about india,"The name 'India' is derived from the River Indus, the valleys around which were the home of the early settlers. The Aryan worshippers referred to the river Indus as the Sindhu.",TRUE,https://education.vikaspedia.in/viewcontent/education/childrens-corner/interesting-facts-about-india?lgn=en,
26,none,none,none,none,facts about india,The Persian invaders converted it into Hindu. The name 'Hindustan' combines Sindhu and Hindu and thus refers to the land of the Hindus.,TRUE,https://education.vikaspedia.in/viewcontent/education/childrens-corner/interesting-facts-about-india?lgn=en,
27,none,none,none,none,facts about india,Chess was invented in India.,TRUE,https://education.vikaspedia.in/viewcontent/education/childrens-corner/interesting-facts-about-india?lgn=en,
28,none,none,none,none,facts about india,"Algebra, Trigonometry and Calculus are studies, which originated in India.",TRUE,https://education.vikaspedia.in/viewcontent/education/childrens-corner/interesting-facts-about-india?lgn=en,
29,none,none,none,none,facts about india,The 'Place Value System' and the 'Decimal System' were developed in India in 100 B.C.,TRUE,https://education.vikaspedia.in/viewcontent/education/childrens-corner/interesting-facts-about-india?lgn=en,
30,none,none,none,none,facts about india,"The world's first granite temple is the Brihadeswara Temple at Tanjavur, Tamil Nadu. ",TRUE,https://education.vikaspedia.in/viewcontent/education/childrens-corner/interesting-facts-about-india?lgn=en,
31,none,none,none,none,facts about india,"The shikhara of the temple is made from a single 80-tonne piece of granite. This magnificent temple was built in just five years, (between 1004 AD and 1009 AD) during the reign of Rajaraja Chola.",TRUE,https://education.vikaspedia.in/viewcontent/education/childrens-corner/interesting-facts-about-india?lgn=en,
32,none,none,none,none,facts about india,"India is the largest democracy in the world, the 7th largest country in the world, and one of the most ancient civilizations.",TRUE,https://education.vikaspedia.in/viewcontent/education/childrens-corner/interesting-facts-about-india?lgn=en,
33,none,none,none,none,facts about india,"The game of Snakes & Ladders was created by the 13th century poet saint Gyandev. It was originally called 'Mokshapat'. The ladders in the game represented virtues and the snakes indicated vices. The game was played with cowrie shells and dices. In time, the game underwent several modifications, but its meaning remained the same, i.e. good deeds take people to heaven and evil to a cycle of re-births.",TRUE,https://education.vikaspedia.in/viewcontent/education/childrens-corner/interesting-facts-about-india?lgn=en,
34,none,none,none,none,facts about india,"The world's highest cricket ground is in Chail, Himachal Pradesh. Built in 1893 after levelling a hilltop, this cricket pitch is 2444 meters above sea level.",TRUE,https://education.vikaspedia.in/viewcontent/education/childrens-corner/interesting-facts-about-india?lgn=en,
35,none,none,none,none,facts about india,India has the largest number of post offices in the world.,TRUE,https://education.vikaspedia.in/viewcontent/education/childrens-corner/interesting-facts-about-india?lgn=en,
36,none,none,none,none,facts about india,"The largest employer in India is the Indian Railways, employing over a million people.",TRUE,https://education.vikaspedia.in/viewcontent/education/childrens-corner/interesting-facts-about-india?lgn=en,
37,none,none,none,none,facts about india,The world's first university was established in Takshila in 700 BC. More than 10500 students from all over the world studied more than 60 subjects. The University of Nalanda built in the 4th century was one of the greatest achievements of ancient India in the field of education.,TRUE,https://education.vikaspedia.in/viewcontent/education/childrens-corner/interesting-facts-about-india?lgn=en,
38,none,none,none,none,facts about india,"Ayurveda is the earliest school of medicine known to mankind. The Father of Medicine, Charaka, consolidated Ayurveda 2500 years ago.",TRUE,https://education.vikaspedia.in/viewcontent/education/childrens-corner/interesting-facts-about-india?lgn=en,
39,none,none,none,none,facts about india,"India was one of the richest countries till the time of British rule in the early 17th century. Christopher Columbus, attracted by India's wealth, had come looking for a sea route to India when he discovered America by mistake.",TRUE,https://education.vikaspedia.in/viewcontent/education/childrens-corner/interesting-facts-about-india?lgn=en,
40,none,none,none,none,facts about india,The Art of Navigation & Navigating was born in the river Sindh over 6000 years ago. The very word Navigation is derived from the Sanskrit word 'NAVGATIH'. The word navy is also derived from the Sanskrit word 'Nou'.,TRUE,https://education.vikaspedia.in/viewcontent/education/childrens-corner/interesting-facts-about-india?lgn=en,
41,none,none,none,none,facts about india,"Bhaskaracharya rightly calculated the time taken by the earth to orbit the Sun hundreds of years before the astronomer Smart. According to his calculation, the time taken by the Earth to orbit the Sun was 365.258756484 days.",TRUE,https://education.vikaspedia.in/viewcontent/education/childrens-corner/interesting-facts-about-india?lgn=en,
42,none,none,none,none,facts about india,"The value of ""pi"" was first calculated by the Indian Mathematician Budhayana, and he explained the concept of what is known as the Pythagorean Theorem. He discovered this in the 6th century, long before the European mathematicians.",TRUE,https://education.vikaspedia.in/viewcontent/education/childrens-corner/interesting-facts-about-india?lgn=en,
43,none,none,none,none,facts about india,"Algebra, Trigonometry and Calculus also originated in India. Quadratic Equations were used by Sridharacharya in the 11th century. The largest numbers the Greeks and the Romans used were 106 whereas Hindus used numbers as big as 10*53 (i.e. 10 to the power of 53) with specific names as early as 5000 B.C. during the Vedic period. Even today, the largest used number is Terra: 10*12(10 to the power of 12).",TRUE,https://education.vikaspedia.in/viewcontent/education/childrens-corner/interesting-facts-about-india?lgn=en,
44,none,none,none,none,facts about india,"Until 1896, India was the only source of diamonds in the world (Source: Gemological Institute of America).",TRUE,https://education.vikaspedia.in/viewcontent/education/childrens-corner/interesting-facts-about-india?lgn=en,
45,none,none,none,none,facts about india,The Baily Bridge is the highest bridge in the world. It is located in the Ladakh valley between the Dras and Suru rivers in the Himalayan mountains. It was built by the Indian Army in August 1982.,TRUE,https://education.vikaspedia.in/viewcontent/education/childrens-corner/interesting-facts-about-india?lgn=en,
46,none,none,none,none,facts about india,"Sushruta is regarded as the Father of Surgery. Over 2600 years ago Sushrata and his team conducted complicated surgeries like cataract, artificial limbs, cesareans, fractures, urinary stones, plastic surgery and brain surgeries.",TRUE,https://education.vikaspedia.in/viewcontent/education/childrens-corner/interesting-facts-about-india?lgn=en,
47,none,none,none,none,facts about india,"Usage of anaesthesia was well known in ancient Indian medicine. Detailed knowledge of anatomy, embryology, digestion, metabolism, physiology, etiology, genetics and immunity is also found in many ancient Indian texts.",TRUE,https://education.vikaspedia.in/viewcontent/education/childrens-corner/interesting-facts-about-india?lgn=en,
48,none,none,none,none,facts about india,India exports software to 90 countries.,TRUE,https://education.vikaspedia.in/viewcontent/education/childrens-corner/interesting-facts-about-india?lgn=en,
49,none,none,none,none,facts about india,"The four religions born in India - Hinduism, Buddhism, Jainism, and Sikhism, are followed by 25% of the world's population.",TRUE,https://education.vikaspedia.in/viewcontent/education/childrens-corner/interesting-facts-about-india?lgn=en,
50,none,none,none,none,facts about india,Jainism and Buddhism were founded in India in 600 B.C. and 500 B.C. respectively.,TRUE,https://education.vikaspedia.in/viewcontent/education/childrens-corner/interesting-facts-about-india?lgn=en,
51,none,none,none,none,facts about india,Islam is India's and the world's second largest religion.,TRUE,https://education.vikaspedia.in/viewcontent/education/childrens-corner/interesting-facts-about-india?lgn=en,
52,none,none,none,none,facts about india,"There are 300000 active mosques in India, more than in any other country, including the Muslim world.",TRUE,https://education.vikaspedia.in/viewcontent/education/childrens-corner/interesting-facts-about-india?lgn=en,
53,none,none,none,none,facts about india,The oldest European church and synagogue in India are in the city of Cochin. They were built in 1503 and 1568 respectively.,TRUE,https://education.vikaspedia.in/viewcontent/education/childrens-corner/interesting-facts-about-india?lgn=en,
54,none,none,none,none,facts about india,Jews and Christians have lived continuously in India since 200 B.C. and 52 A.D. respectively.,TRUE,https://education.vikaspedia.in/viewcontent/education/childrens-corner/interesting-facts-about-india?lgn=en,
55,none,none,none,none,facts about india,"The largest religious building in the world is Angkor Wat, a Hindu Temple in Cambodia built at the end of the 11th century.",TRUE,https://education.vikaspedia.in/viewcontent/education/childrens-corner/interesting-facts-about-india?lgn=en,
56,none,none,none,none,facts about india,"The Vishnu Temple in the city of Tirupathi built in the 10th century, is the world's largest religious pilgrimage destination. Larger than either Rome or Mecca, an average of 30000 visitors donate $6 million (US) to the temple every day.",TRUE,https://education.vikaspedia.in/viewcontent/education/childrens-corner/interesting-facts-about-india?lgn=en,
57,none,none,none,none,facts about india,"Sikhism originated in the Holy city of Amritsar in Punjab. Famous for housing the Golden Temple, the city was founded in 1577.",TRUE,https://education.vikaspedia.in/viewcontent/education/childrens-corner/interesting-facts-about-india?lgn=en,
58,none,none,none,none,facts about india,"Varanasi, also known as Benaras, was called ""the Ancient City"" when Lord Buddha visited it in 500 B.C., and is the oldest, continuously inhabited city in the world today.",TRUE,https://education.vikaspedia.in/viewcontent/education/childrens-corner/interesting-facts-about-india?lgn=en,
59,none,none,none,none,facts about india,"India provides safety for more than 300000 refugees originally from Sri Lanka, Tibet, Bhutan, Afghanistan and Bangladesh, who escaped to flee religious and political persecution.",TRUE,https://education.vikaspedia.in/viewcontent/education/childrens-corner/interesting-facts-about-india?lgn=en,
60,none,none,none,none,facts about india,"His Holiness, the Dalai Lama, the exiled spiritual leader of Tibetan Buddhists, runs his government in exile from Dharmashala in northern India.",TRUE,https://education.vikaspedia.in/viewcontent/education/childrens-corner/interesting-facts-about-india?lgn=en,
61,none,none,none,none,facts about india,"Martial arts were first created in India, and later spread to Asia by Buddhist missionaries.",TRUE,https://education.vikaspedia.in/viewcontent/education/childrens-corner/interesting-facts-about-india?lgn=en,
62,none,none,none,none,facts about india,Yoga has its origins in India and has existed for over 5000 years.,TRUE,https://education.vikaspedia.in/viewcontent/education/childrens-corner/interesting-facts-about-india?lgn=en,
63,none,none,none,none,facts about india,"largest Tiranga, as the Indian National Tricolour Flag is popularly called, at Jaisalmer. It was made of khadi and measured 33,750 sq. ft.!! ",TRUE,https://education.vikaspedia.in/viewcontent/education/childrens-corner/interesting-facts-about-india?lgn=en,
64,none,none,none,none,facts about india,India has the largest vegetarian population in the world,TRUE,https://education.vikaspedia.in/viewcontent/education/childrens-corner/interesting-facts-about-india?lgn=en,
65,none,none,none,none,facts about india,Varanasi in India is one of the oldest inhabited places on Earth,TRUE,https://www.contiki.com/six-two/article/interesting-facts-about-india/,
66,none,none,none,none,facts about india,India is one of the world’s 12 megadiverse countries,TRUE,https://www.contiki.com/six-two/article/interesting-facts-about-india/,
67,none,none,none,none,facts about india,India’s Mars mission was cheaper than the budget for the film Gravity,TRUE,https://www.contiki.com/six-two/article/interesting-facts-about-india/,
68,none,none,none,none,facts about india,India used to be one of the richest countries in the world,TRUE,https://www.contiki.com/six-two/article/interesting-facts-about-india/,
69,none,none,none,none,facts about india,The world’s highest motorable road is in India,TRUE,https://www.contiki.com/six-two/article/interesting-facts-about-india/,
70,none,none,none,none,facts about india,India is the world’s largest film producer,TRUE,https://www.contiki.com/six-two/article/interesting-facts-about-india/,
71,none,none,none,none,facts about india,India has 43 UNESCO World Heritage Sites,TRUE,https://www.contiki.com/six-two/article/interesting-facts-about-india/,
72,none,none,none,none,facts about india,The Kumbh Mela is the world’s largest religious gathering,TRUE,https://www.travelsphere.co.uk/inspirations/asia/30-interesting-facts-about-india/,
73,none,none,none,none,facts about india,The Taj Mahal is one of the New Seven Wonders of the World,TRUE,https://www.travelsphere.co.uk/inspirations/asia/30-interesting-facts-about-india/,
74,none,none,none,none,facts about india,India’s festivals are colourful and diverse,TRUE,https://www.travelsphere.co.uk/inspirations/asia/30-interesting-facts-about-india/,
75,none,none,none,none,facts about india,The Ganges River is sacred in Hinduism,TRUE,https://www.travelsphere.co.uk/inspirations/asia/30-interesting-facts-about-india/,
76,none,none,none,none,facts about india,Sanskrit is one of the oldest languages in the world,TRUE,https://www.travelsphere.co.uk/inspirations/asia/30-interesting-facts-about-india/,
77,none,none,none,none,facts about india,India is the largest producer of spices in the world,TRUE,https://www.travelsphere.co.uk/inspirations/asia/30-interesting-facts-about-india/,
78,none,none,none,none,facts about india,India is known for its vibrant textile industry,TRUE,https://www.travelsphere.co.uk/inspirations/asia/30-interesting-facts-about-india/,
79,none,none,none,none,facts about india,The Indian Constitution is the longest in the world,TRUE,https://www.travelsphere.co.uk/inspirations/asia/30-interesting-facts-about-india/,
80,none,none,none,none,facts about india,"The Statue of Unity, dedicated to Sardar Vallabhbhai Patel, stands at 182 metres in Gujarat, making it the tallest statue in the world.",TRUE,https://www.travelsphere.co.uk/inspirations/asia/30-interesting-facts-about-india/,
81,none,none,none,none,facts about india,"The Golden Temple, or Harmandir Sahib, is the most important pilgrimage site for Sikhs Its stunning gold-plated exterior attracts visitors from all over the world.",TRUE,https://www.travelsphere.co.uk/inspirations/asia/30-interesting-facts-about-india/,
82,none,none,none,none,facts about india,India has the second-largest road network in the world,TRUE,https://www.travelsphere.co.uk/inspirations/asia/30-interesting-facts-about-india/,
83,none,none,none,none,gibberish,I’ll pay you back soon.,TRUE,https://www.travelsphere.co.uk/inspirations/asia/30-interesting-facts-about-india/,
84,none,none,none,none,gibberish,Could you open the window?,NEUTRAL,none,
85,none,none,none,none,gibberish,I’ll be done in a few minutes.,NEUTRAL,none,
86,none,none,none,none,gibberish,I’ll take care of it.,NEUTRAL,none,
87,none,none,none,none,gibberish,I’m feeling a bit hungry.,NEUTRAL,none,
88,none,none,none,none,gibberish,The weather is nice today.,NEUTRAL,none,
89,none,none,none,none,gibberish,I appreciate your support.,NEUTRAL,none,
90,none,none,none,none,gibberish,I’ll see you tomorrow.,NEUTRAL,none,
91,none,none,none,none,gibberish,Let’s keep in touch.,NEUTRAL,none,
92,none,none,none,none,gibberish,Can we schedule a meeting?,NEUTRAL,none,
93,none,none,none,none,gibberish,Take a deep breath and relax.,NEUTRAL,none,
94,none,none,none,none,gibberish,I hope you enjoy your day.,NEUTRAL,none,
95,none,none,none,none,gibberish, Let me know if I missed anything.,NEUTRAL,none,
96,none,none,none,none,gibberish,I’ll need some more time.,NEUTRAL,none,
97,none,none,none,none,gibberish,Let’s try something new today.,NEUTRAL,none,
98,none,none,none,none,gibberish,Can you check the door?,NEUTRAL,none,
99,none,none,none,none,gibberish,Please give me a call when you’re free.,NEUTRAL,none,
100,none,none,none,none,gibberish,Could I borrow your charger?,NEUTRAL,none,
101,none,none,none,none,gibberish,Can you pick me up on the way?,NEUTRAL,none,
102,none,none,none,none,gibberish,I forgot to bring my wallet.,NEUTRAL,none,
103,none,none,none,none,gibberish,Do you mind if I join you?,NEUTRAL,none,
104,none,none,none,none,gibberish,Could you give me a hand with this?,NEUTRAL,none,
105,none,none,none,none,gibberish,What’s the time?,NEUTRAL,none,
106,none,none,none,none,gibberish,Thank you for your help.,NEUTRAL,none,
107,none,none,none,none,gibberish,Do you need any help?,NEUTRAL,none,
108,none,none,none,none,gibberish,I think it’s time to leave.,NEUTRAL,none,
109,none,none,none,none,gibberish,Let me know if you need anything.,NEUTRAL,none,
110,none,none,none,none,gibberish,It’s raining outside.,NEUTRAL,none,
111,none,none,none,none,gibberish,I’ll text you when I’m on the way.,NEUTRAL,none,
112,none,none,none,none,gibberish,Could you please repeat that?,NEUTRAL,none,
113,none,none,none,none,gibberish,I’m looking forward to it.,NEUTRAL,none,
114,none,none,none,none,gibberish,Let’s go for a walk.,NEUTRAL,none,
115,none,none,none,none,gibberish,Take care!,NEUTRAL,none,
116,none,none,none,none,gibberish,Can you remind me about the meeting?,NEUTRAL,none,
117,none,none,none,none,gibberish,Do you have any plans for the weekend?,NEUTRAL,none,
118,none,none,none,none,gibberish,What’s for dinner?,NEUTRAL,none,
119,none,none,none,none,gibberish,Can I get a cup of water?,NEUTRAL,none,
120,none,none,none,none,gibberish,Please turn off the lights when you leave.,NEUTRAL,none,
121,none,none,none,none,gibberish,Could you please repeat that?,NEUTRAL,none,
122,none,none,none,none,gibberish,Can you lend me a pen?,NEUTRAL,none,
123,none,none,none,none,gibberish,I’ll be there in 10 minutes.,NEUTRAL,none,
124,none,none,none,none,gibberish,Please pass the salt.,NEUTRAL,none,
125,none,none,none,none,gibberish,It’s raining outside.,NEUTRAL,none,
126,none,none,none,none,gibberish,Don’t forget to lock the door.,NEUTRAL,none,
127,none,none,none,none,gibberish,Could you please help me with this?,NEUTRAL,none,
128,none,none,none,none,gibberish,I need to go grocery shopping today.,NEUTRAL,none,
129,none,none,none,none,deceptive,The Milky Way is a type of candy bar.,FALSE,https://imagine.gsfc.nasa.gov/science/objects/milkyway1.html,
130,none,none,none,none,deceptive,The Nile is in South America.,FALSE,https://education.nationalgeographic.org/resource/nile-river/,
131,none,none,none,none,deceptive,The human skeleton has 300 bones in adulthood.,FALSE,"https://www.niams.nih.gov/health-topics/educational-resources/health-lesson-learning-about-bones#:~:text=A%20baby%20is%20born%20with,in%20a%20process%20called%20remodeling.",
132,none,none,none,none,deceptive,Jupiter is the smallest planet in our solar system.,FALSE,https://science.nasa.gov/jupiter/jupiter-facts/,
133,none,none,none,none,deceptive,The North Pole is in the Antarctic.,FALSE,https://en.wikipedia.org/wiki/North_Pole,
134,none,none,none,none,deceptive,The Atlantic Ocean is the smallest ocean.,FALSE,https://oceanservice.noaa.gov/facts/smallestocean.html,
135,none,none,none,none,deceptive,Canada is located in South America.,FALSE,"https://en.wikipedia.org/wiki/Canada#:~:text=Canada%20is%20a%20country%20in,with%20the%20world's%20longest%20coastline.",
136,none,none,none,none,deceptive,Birds have scales instead of feathers.,FALSE,"https://www.wonderopolis.org/wonder/why-do-birds-wear-feathers-instead-of-fur#:~:text=How%20did%20birds%20get%20their,on%20a%20few%20different%20forms.",
137,none,none,none,none,deceptive,Earth is the closest planet to the Sun.,FALSE,"https://science.nasa.gov/mercury/#:~:text=Mercury%20is%20the%20closest%20planet,planet%20in%20our%20solar%20system.",
138,none,none,none,none,deceptive,Mercury is the hottest planet in our solar system.,FALSE,https://unacademy.com/content/question-answer/physics/which-is-the-hottest-planet-in-the-solar-system-a-mercury-bneptune-c-jupiter-d-venus/,
139,none,none,none,none,deceptive,Penguins can fly.,FALSE,"https://oceanservice.noaa.gov/facts/penguinsfly.html#:~:text=No%2C%20technically%20penguins%20cannot%20fly.&text=However%2C%20the%20wing%20structures%20of,of%20time%20in%20the%20water.",
140,none,none,none,none,deceptive,Venus is farther from the Sun than Earth.,FALSE,"https://science.nasa.gov/solar-system/planets/planet-sizes-and-locations-in-our-solar-system/#:~:text=Venus%20is%20the%20second%20planet,to%20the%20Sun%20than%20Earth.",
141,none,none,none,none,deceptive,Antarctica is home to polar bears.,FALSE,"https://www.quarkexpeditions.com/blog/should-there-be-polar-bears-in-antarctica#:~:text=The%20Antarctic%20is%20one%20of,the%20sun%20in%20the%20sky.",
142,none,none,none,none,deceptive,Australia is located in the Northern Hemisphere.,FALSE,https://en.wikipedia.org/wiki/Australia_(continent),
143,none,none,none,none,deceptive,The capital of France is London.,FALSE,"https://en.wikipedia.org/wiki/Paris#:~:text=Paris%20(French%20pronunciation%3A%20%5Bpa%CA%81i,and%20largest%20city%20of%20France.",
144,none,none,none,none,deceptive,The Moon is larger than the Earth.,FALSE,none,
145,none,none,none,none,deceptive,The Great Wall of China is visible from space.,FALSE,"https://www.britannica.com/question/Can-you-see-the-Great-Wall-of-China-from-space#:~:text=A%20popular%20myth%2C%20the%20claim,and%20the%20International%20Space%20Station.",
146,none,none,none,none,deceptive,The Amazon rainforest is the largest desert in the world.,FALSE,https://en.wikipedia.org/wiki/Amazon_rainforest,
147,none,none,none,none,deceptive,Tokyo is the capital of China.,FALSE,https://en.wikipedia.org/wiki/Tokyo,
148,none,none,none,none,deceptive,The Eiffel Tower is located in Berlin.,FALSE,https://www.britannica.com/topic/Eiffel-Tower-Paris-France,
149,none,none,none,none,Pakistan Army and Terrorism,Pakistan has been known for its perennial support of the Taliban in Afghanistan and other terrorist organizations in Indian Administered Jammu and Kashmir.,TRUE,https://www.efsas.org/publications/study-papers/pakistan-army-and-terrorism%3B-an-unholy-alliance/,
150,none,none,none,none,Pakistan Army and Terrorism,"The dramatic events of the terrorist attacks on the twin towers in the United States (US) on the 11th of September 2001 also referred to as 9/11, shook the tectonic plates of world politics, pushing Pakistan into being a focal point of global politics. Pakistan became the key strategic partner of United States’ War on Terror; post the terrorist attacks, taking a complete U-turn in her traditional foreign policies towards Afghanistan and Indian Administered Jammu and Kashmir, albeit temporarily under international pressure for heavy monetary gains.",TRUE,https://www.efsas.org/publications/study-papers/pakistan-army-and-terrorism%3B-an-unholy-alliance/,
151,none,none,none,none,Pakistan Army and Terrorism,"Pakistan country, in which sectarian groups targeting minority communities (Shias, Sufis, Ahmadis etc.) and Kashmir-focused groups confined their operations to Indian Administered Kashmir and the rest of India, has become a victim of its own holy war as a consequence of the ‘unholy alliance’ between the Inter- Services Intelligence (ISI), Pakistan’s powerful intelligence agency, military and self-styled religious scholars. ",TRUE,https://www.efsas.org/publications/study-papers/pakistan-army-and-terrorism%3B-an-unholy-alliance/,
152,none,none,none,none,Pakistan Army and Terrorism,This historic alliance has resulted in colossal rise of radical Islam being a factor in the Pakistan country’s proclivity to Islamic fundamentalism.,TRUE,https://www.efsas.org/publications/study-papers/pakistan-army-and-terrorism%3B-an-unholy-alliance/,
153,none,none,none,none,Pakistan Army and Terrorism,"There are several kind of militant groups operating in and from Pakistan that can be distinguished by their sectarian background (Ahl-e-Hadith, Deobandi, Jamaat-e-Islami etc.), and their areas of operation (Afghanistan, India, Pakistan). Their objectives may vary from overthrowing the Pakistani government, seizure of Indian Administered Jammu and Kashmir or support of Afghan Taliban. It typically takes eighteen months for ‘Mujahideen’ to become fully functional.",TRUE,https://www.efsas.org/publications/study-papers/pakistan-army-and-terrorism%3B-an-unholy-alliance/,
154,none,none,none,none,Pakistan Army and Terrorism,"Pakistan’s security situation has deteriorated post 9/11 attacks, despite its proclaimed commitment to the war on terror, and ongoing aid from United States. Paradoxically, Pakistan has become a sponsor of terrorism and an epicentre of terror, where unfortunately religion has a significant role to play.",TRUE,https://www.efsas.org/publications/study-papers/pakistan-army-and-terrorism%3B-an-unholy-alliance/,
155,none,none,none,none,Pakistan Army and Terrorism,"Pakistan support is extended to these groups although they are allied with the very terrorist groups that fight the Pakistani State. In addition, many of the extremist groups sponsored by Pakistan are allied with Al Qaeda.",TRUE,https://www.efsas.org/publications/study-papers/pakistan-army-and-terrorism%3B-an-unholy-alliance/,
